week_end,pub_date,wow_pct
2022-01-10,2022-01-12,0.56
2022-01-14,2022-01-19,0.1
2022-01-21,2022-01-26,0.22
2022-01-28,2022-02-02,0.19
2022-02-04,2022-02-09,0.29
2022-02-11,2022-02-16,0.13
2022-02-18,2022-02-23,0.24
2022-02-25,2022-03-02,0.45
2022-03-04,2022-03-09,2.22
2022-03-11,2022-03-16,2.09
2022-03-18,2022-03-23,1.93
2022-03-25,2022-03-30,1.16
2022-04-01,2022-04-06,0.99
2022-04-08,2022-04-13,0.66
2022-04-15,2022-04-20,0.2
2022-04-22,2022-04-27,0.25
2022-04-29,2022-05-06,0.21
2022-05-06,2022-05-11,0.12
2022-05-13,2022-05-18,0.05
2022-05-20,2022-05-25,-0.02
2022-05-27,2022-06-01,0.0
2022-06-03,2022-06-08,-0.01
2022-06-10,2022-06-15,-0.14
2022-06-17,2022-06-22,-0.12
2022-06-24,2022-06-29,0.0
2022-07-01,2022-07-06,0.23
2022-07-08,2022-07-13,-0.03
2022-07-15,2022-07-20,-0.17
2022-07-22,2022-07-27,-0.08
2022-08-01,2022-08-03,-0.14
2022-08-08,2022-08-10,-0.08
2022-08-15,2022-08-17,-0.13
2022-08-22,2022-08-24,-0.15
2022-08-29,2022-08-31,-0.16
2022-09-05,2022-09-07,-0.13
2022-09-12,2022-09-14,-0.03
2022-09-19,2022-09-21,-0.03
2022-09-26,2022-09-28,0.08
2022-10-03,2022-10-05,0.07
2022-10-10,2022-10-12,0.03
2022-10-17,2022-10-19,0.02
2022-10-24,2022-10-26,0.08
2022-10-31,2022-11-02,0.07
2022-11-07,2022-11-09,0.01
2022-11-14,2022-11-16,0.06
2022-11-21,2022-11-23,0.11
2022-11-28,2022-11-30,0.19
2022-12-05,2022-12-07,0.58
2022-12-12,2022-12-14,0.19
2022-12-19,2022-12-21,0.02
2022-12-26,2022-12-28,0.12
2023-01-09,2023-01-11,0.24
2023-01-16,2023-01-18,0.15
2023-01-23,2023-01-25,0.14
2023-01-30,2023-02-01,0.21
2023-02-06,2023-02-08,0.26
2023-02-13,2023-02-15,0.18
2023-02-20,2023-02-22,0.06
2023-02-27,2023-03-01,-0.02
2023-03-06,2023-03-10,0.0
2023-03-13,2023-03-15,0.02
2023-03-20,2023-03-22,0.1
2023-03-27,2023-03-29,0.05
2023-04-03,2023-04-05,0.13
2023-04-10,2023-04-12,0.11
2023-04-17,2023-04-19,0.04
2023-04-24,2023-04-26,0.1
2023-05-02,2023-05-04,0.19
2023-05-10,2023-05-12,0.0
2023-05-15,2023-05-17,0.04
2023-05-22,2023-05-24,0.04
2023-05-29,2023-05-31,0.08
2023-06-05,2023-06-07,0.21
2023-06-13,2023-06-15,0.05
2023-06-19,2023-06-21,0.02
2023-06-26,2023-06-28,0.16
2023-07-03,2023-07-05,0.13
2023-07-10,2023-07-12,0.14
2023-07-17,2023-07-19,0.18
2023-07-24,2023-07-26,0.23
2023-07-31,2023-08-02,0.13
2023-08-07,2023-08-09,0.01
2023-08-14,2023-08-16,0.1
2023-08-21,2023-08-23,0.09
2023-08-28,2023-08-30,0.03
2023-09-04,2023-09-06,0.11
2023-09-11,2023-09-13,0.13
2023-09-18,2023-09-20,0.13
2023-09-25,2023-09-27,0.28
2023-10-02,2023-10-04,0.21
2023-10-09,2023-10-11,0.24
2023-10-16,2023-10-18,0.15
2023-10-23,2023-10-25,0.24
2023-10-30,2023-11-01,0.14
2023-11-07,2023-11-10,0.42
2023-11-13,2023-11-15,0.23
2023-11-20,2023-11-22,0.2
2023-11-27,2023-11-29,0.33
2023-12-04,2023-12-06,0.12
2023-12-11,2023-12-13,0.2
2023-12-18,2023-12-20,0.18
2023-12-25,2023-12-27,0.28
2024-01-09,2024-01-12,0.26
2024-01-15,2024-01-17,0.13
2024-01-22,2024-01-24,0.07
2024-01-29,2024-01-31,0.16
2024-02-05,2024-02-07,0.16
2024-02-12,2024-02-14,0.21
2024-02-19,2024-02-21,0.11
2024-02-26,2024-02-28,0.13
2024-03-04,2024-03-06,0.09
2024-03-11,2024-03-13,0.0
2024-03-18,2024-03-20,0.06
2024-03-25,2024-03-27,0.11
2024-04-01,2024-04-03,0.1
2024-04-08,2024-04-10,0.16
2024-04-15,2024-04-17,0.12
2024-04-22,2024-04-24,0.08
2024-05-02,2024-05-06,0.06
2024-05-06,2024-05-08,0.09
2024-05-13,2024-05-15,0.17
2024-05-20,2024-05-22,0.11
2024-05-27,2024-05-29,0.1
2024-06-03,2024-06-05,0.17
2024-06-10,2024-06-14,0.12
2024-06-17,2024-06-19,0.17
2024-06-24,2024-06-26,0.22
2024-07-01,2024-07-03,0.66
2024-07-08,2024-07-10,0.27
2024-07-15,2024-07-17,0.11
2024-07-22,2024-07-24,0.11
2024-07-29,2024-07-31,0.08
2024-08-05,2024-08-07,0.0
2024-08-12,2024-08-14,0.05
2024-08-19,2024-08-21,0.04
2024-08-26,2024-08-28,0.03
2024-09-02,2024-09-04,-0.02
2024-09-09,2024-09-11,0.09
2024-09-16,2024-09-18,0.1
2024-09-23,2024-09-25,0.06
2024-09-30,2024-10-02,0.19
2024-10-07,2024-10-09,0.14
2024-10-14,2024-10-16,0.12
2024-10-21,2024-10-23,0.2
2024-10-28,2024-10-30,0.27
2024-11-05,2024-11-08,0.19
2024-11-11,2024-11-13,0.3
2024-11-18,2024-11-20,0.37
2024-11-25,2024-11-27,0.36
2024-12-02,2024-12-04,0.5
2024-12-09,2024-12-11,0.48
2024-12-16,2024-12-18,0.35
2024-12-23,2024-12-25,0.33
2025-01-13,2025-01-15,0.67
2025-01-20,2025-01-22,0.25
2025-01-27,2025-01-29,0.22
2025-02-03,2025-02-05,0.16
2025-02-10,2025-02-12,0.23
2025-02-17,2025-02-19,0.17
2025-02-24,2025-02-26,0.23
2025-03-03,2025-03-05,0.15
2025-03-10,2025-03-12,0.11
2025-03-17,2025-03-19,0.06
2025-03-24,2025-03-26,0.12
2025-03-31,2025-04-02,0.2
2025-04-07,2025-04-09,0.16
2025-04-14,2025-04-16,0.11
2025-04-21,2025-04-23,0.09
2025-04-28,2025-04-30,0.11
2025-05-05,2025-05-07,0.03
2025-05-12,2025-05-14,0.06
2025-05-19,2025-05-21,0.07
2025-05-26,2025-05-28,0.06
2025-06-02,2025-06-04,0.05
2025-06-09,2025-06-11,0.03
2025-06-16,2025-06-18,0.04
2025-06-23,2025-06-25,0.04
2025-06-30,2025-07-02,0.07
2025-07-07,2025-07-09,0.79
2025-07-14,2025-07-16,0.02
2025-07-21,2025-07-23,-0.05
2025-07-28,2025-07-30,-0.05
2025-08-04,2025-08-06,-0.13
2025-08-11,2025-08-13,-0.08
2025-08-18,2025-08-20,-0.04
2025-08-25,2025-08-27,0.02
2025-09-01,2025-09-03,-0.08
2025-09-08,2025-09-10,0.1
2025-09-15,2025-09-17,0.04
2025-09-22,2025-09-24,0.08
2025-09-29,2025-10-01,0.13
2025-10-06,2025-10-08,0.23
2025-10-13,2025-10-15,0.21
2025-10-20,2025-10-22,0.22
2025-10-27,2025-10-29,0.16
2025-11-05,2025-11-07,0.11
2025-11-10,2025-11-12,0.09
2025-11-17,2025-11-19,0.11
2025-11-24,2025-11-26,0.14
2025-12-01,2025-12-03,0.04
2025-12-08,2025-12-10,0.05
2025-12-15,2025-12-17,0.05
2025-12-22,2025-12-24,0.2
2026-01-12,2026-01-14,1.26
2026-01-19,2026-01-21,0.45
2026-01-26,2026-01-28,0.19
2026-02-02,2026-02-04,0.2
2026-02-09,2026-02-11,0.13
2026-02-16,2026-02-18,0.12
2026-02-24,2026-02-27,0.19
2026-03-02,2026-03-04,0.08
2026-03-10,2026-03-13,0.11
2026-03-16,2026-03-18,0.08
2026-03-23,2026-03-25,0.19
2026-03-30,2026-04-01,0.17
2026-04-06,2026-04-08,0.19
2026-04-13,2026-04-15,0.0
2026-04-20,2026-04-22,0.01
2026-04-27,2026-04-29,0.05
2026-05-04,2026-05-06,-0.02
2026-05-12,2026-05-15,0.07
2026-05-18,2026-05-20,-0.02
2026-05-25,2026-05-27,0.07
2026-06-01,2026-06-03,0.15
2026-06-08,2026-06-10,0.2
2026-06-15,2026-06-17,0.15
2026-06-22,2026-06-24,0.25
2026-06-29,2026-07-01,0.22
2026-07-06,2026-07-08,0.31
2026-07-13,2026-07-15,0.17
2026-07-20,2026-07-22,0.17
2026-07-27,2026-07-29,0.04
2026-08-03,2026-08-05,-0.02
