date,type,title,expected_sign,src
2022-02-24,other,"Начало полномасштабной войны; обвал МосБиржи (-33%), затем месячная остановка торгов",neg,
2022-06-21,tax,"НДПИ-изъятие у Газпрома 1,248 трлн руб (поправка в Думе, II чтение 23-24.06)",neg,https://www.kommersant.ru/doc/5447089
2022-06-30,other,"ГОСА Газпрома отменило рекордные дивиденды (GAZP -30%, индекс -7%)",neg,https://www.rbc.ru/business/30/06/2022/62bd9e199a79470d06493536
2022-09-20,tax,"Бюджетный пакет изъятий 2023-25: НДПИ Газпром +50 млрд/мес, пошлины на удобрения/уголь (конфаунд: анонс референдумов, индекс -8.8%)",neg,https://www.interfax.ru/business/879424
2022-09-21,mobilization,Объявление частичной мобилизации,neg,
2023-02-08,tax,Утечка о windfall tax ~300 млрд (разовый сбор со сверхприбыли; подтвердил Белоусов),neg,https://journal.tinkoff.ru/news/review-new-rus-taxe-2023/
2023-02-25,sanction_eu,10-й пакет санкций ЕС (принят 25.02.2023),neg,
2023-06-23,sanction_eu,11-й пакет санкций ЕС (анти-обход),neg,
2023-09-21,tax,"Курсовые экспортные пошлины 4-7% (решение правительства, действуют с 01.10.2023)",neg,
2023-11-02,sanction_us,SDN на СПБ Биржу (OFAC); остановка торгов иностранными бумагами,neg,
2023-12-18,sanction_eu,"12-й пакет санкций ЕС (алмазы, price cap enforcement)",neg,
2024-02-23,sanction_eu,"13-й пакет санкций ЕС (к годовщине; в тот же день крупный пакет OFAC — Мечел, ТМК и др.)",neg,
2024-03-22,depriv,Суд изъял у ~2266 миноритариев 10% акций СМЗ — первый прецедент конфискации купленных на бирже акций,neg,https://www.vedomosti.ru/business/news/2024/03/22/1027435-sud-vziskal-aktsii
2024-05-28,tax,Минфин: повышение налога на прибыль с 20% до 25% с 2025 (утечки с середины мая),neg,https://iz.ru/1703547/2024-05-28/minfin-predlozhil-povysit-nalog-na-pribyl-organizatcii-do-25
2024-06-12,sanction_us,"SDN на Мосбиржу/НКЦ/НРД; конец биржевых торгов USD/EUR (12.06 — выходной, первая сессия 13.06)",neg,
2024-06-24,sanction_eu,"14-й пакет санкций ЕС (СПГ-перевалка, теневой флот)",neg,
2024-11-18,tax,Утечка РБК: налог на прибыль Транснефти 40% (TRNFP -9% в день),neg,https://www.vedomosti.ru/business/news/2024/11/18/1075694-rbk-minfin
2024-11-20,offering,"Сегежа: СД созвал ВОСА по допэмиссии до 101 млрд по 1,8 руб (закрытая подписка; акции -10%)",neg,https://www.kommersant.ru/doc/7312840
2024-12-16,sanction_eu,15-й пакет санкций ЕС,neg,
2025-01-10,sanction_us,"Прощальный пакет OFAC: SDN на Газпром нефть, Сургутнефтегаз, ~180 танкеров",neg,
2025-02-12,peace_pos,"Первый звонок Трамп-Путин, договорённость о переговорах (ралли МосБиржи)",pos,
2025-02-24,sanction_eu,16-й пакет санкций ЕС,neg,
2025-03-20,offering,"VK: анонс допэмиссии до 115 млрд руб по закрытой подписке (итог 112 млрд по 324,9 руб)",neg,https://www.interfax.ru/business/1015606
2025-05-20,sanction_eu,17-й пакет санкций ЕС,neg,
2025-07-02,depriv,"ЮГК: обыски, 03.07 иск Генпрокуратуры об изъятии доли Струкова (-30% за два дня, торги остановлены 04.07)",neg,https://alfabank.ru/alfa-investor/t/yugk-mozhet-stat-gosudarstvennoy-aktsii-teryayut-10-/
2025-07-18,sanction_eu,18-й пакет санкций ЕС (снижение нефтяного потолка),neg,
2025-07-28,offering,"ВТБ: анонс допэмиссии на 80-90 млрд (размещение 16-19.09.2025 по 67-73,9 руб)",neg,https://www.rbc.ru/quote/news/article/6887711c9a79472496a5f770
2025-08-07,peace_pos,Согласован саммит Трамп-Путин на Аляске (окно анонса 06-08.08 после визита Уиткоффа в Москву),pos,
2025-08-15,peace_pos,"Саммит в Анкоридже: без сделки, но позитивная риторика",mixed,
2025-09-22,tax,Утечка о повышении НДС до 22% (официально Минфин 24.09.2025),neg,https://www.rbc.ru/economics/24/09/2025/68d390b39a794798d486feef
2025-09-22,offering,"М.Видео: СД вынес допэмиссию 1,5 млрд акций по открытой подписке (размытие в 9 раз; -21-25%; первая утечка 08.09)",neg,https://www.vedomosti.ru/investments/articles/2025/09/23/1141155-aktsii-mvideo-posle-obyavleniya
2025-10-16,peace_pos,Звонок Трамп-Путин: объявлен саммит в Будапеште,pos,
2025-10-21,peace_neg,"Срыв Будапешта: FT/Telegraph о переносе, 22.10 Трамп подтвердил отмену",neg,https://www.moscowtimes.ru/2025/10/21/tramp-otmenil-vstrechu-s-putinim-v-budapeshte-posle-otkaza-prekraschat-v-ogon-v-ukraine-a177816
2025-10-23,sanction_us,SDN на Роснефть и Лукойл + 34 дочки (объявлено 22.10 ~23:00 мск),neg,https://www.rbc.ru/politics/22/10/2025/68f943f09a79471dc2da1d35
2025-10-23,sanction_eu,"19-й пакет санкций ЕС (тот же день, что SDN Роснефть/Лукойл — конфаунд)",neg,
2025-11-19,peace_pos,Axios: тайный 28-пунктный план Трампа (полный текст опубликован 21.11),pos,https://meduza.io/feature/2025/11/19/rossiya-i-ssha-tayno-rabotayut-nad-novym-planom-prekrascheniya-voyny-v-ukraine-pishet-axios
2026-01-23,peace_pos,Абу-Даби I: первые трёхсторонние переговоры РФ-США-Украина 23-24.01 (Уиткофф/Кушнер у Путина 22.01),pos,https://www.rbc.ru/politics/24/01/2026/6974bb9d9a7947b7bbbe7219
2026-02-04,peace_pos,Абу-Даби II: второй раунд 04-05.02 (договорённость об обменах пленными),pos,https://www.rbc.ru/politics/04/02/2026/6981c0dd9a79473575948979
2026-03-19,peace_neg,"Признание паузы в переговорах: эскалация на Ближнем Востоке остановила трёхсторонний трек (дата размыта, март 2026)",neg,https://www.gazeta.ru/politics/2026/03/19/22664101.shtml
2026-03-24,offering,"М.Видео: раскрыты условия допэмиссии, преимущественное право с 25.03",neg,https://www.vedomosti.ru/investments/articles/2026/03/24/1185214-mvideo-otkroet-dostup
2026-04-10,tax,Интерфакс: Путин поручил проработать windfall tax 20% на сверхприбыль-2025 (поручение от 10.03),neg,https://ru.themoscowtimes.com/2026/04/10/putin-poruchil-oblozhit-biznes-nalogom-nasverhpribil-nesmotrya-napredlozhenie-milliarderov-dobrovolno-sdat-dengi-vbyudzhet-a192375
2026-04-23,sanction_eu,"20-й пакет санкций ЕС (планировался на 23.02, три месяца блокировала Венгрия)",neg,https://ria.ru/20260423/es-2088450402.html
2026-05-01,depriv,Иск Генпрокуратуры к Мошковичу: изъятие контрольного пакета Русагро + 24 млн акций Эталона (осн. сессия 05.05),neg,https://ria.ru/20260501/moshkovich-2090064035.html
2026-05-14,depriv,"ТГК-14: иск прокуратуры о взыскании ~1 трлн акций в доход РФ, суд арестовал акции",neg,https://www.kommersant.ru/doc/8671976
2026-05-22,peace_neg,Рубио: США ставят трёхсторонние переговоры на паузу («не встречи ради встреч»),neg,https://eadaily.com/ru/news/2026/05/22/net-rezultatov-rubio-ob-ostanovke-peregovorov-po-ukraine
2026-05-26,peace_pos,"ВТБ: набсовет объявил допэмиссию №2 до 547,5 млрд (6,29 млрд акций по 87 руб, под сделку с RWB)",neg,https://thebell.io/vtb-obyavil-dopemissiyu-na-summu-do-5475-mlrd-rubley-aktsii-banka-padayut-vtoroy-den
2026-06-11,peace_neg,"Lenta/окружение Зеленского: переговорный процесс фактически прекращён, контакты с Уиткоффом/Кушнером разорваны",neg,https://lenta.ru/news/2026/06/11/v-okruzhenii-zelenskogo-priznali-konets-peregovorov-po-ukraine/
2026-06-19,tax,"Опубликовано постановление: экспортная пошлина 8% на алмазы с 01.09.2026 (подписано 12.06; удар по АЛРОСА, EBITDA -15-29%)",neg,https://www.vedomosti.ru/business/news/2026/06/19/1207417-eksportnuyu-poshlinu-almazi
2026-07-16,sanction_us,"Внесён S.5025 Lindsey O. Graham Sanctioning Russia Act (60+ коспонсоров; источники дают 16.07, заказчик указывал 14.07)",neg,https://www.govtrack.us/congress/bills/119/s5025
2026-07-23,sanction_eu,"21-й пакет санкций ЕС (сверх запрошенного диапазона 10-20, включён для полноты)",neg,https://www.vedomosti.ru/politics/news/2026/07/23/1216050-21-i-paket-sanktsii
2026-07-28,peace_pos,Встреча Трамп-Зеленский в Вашингтоне: договорились активизировать переговоры,pos,https://www.e1.ru/text/world/2026/07/28/76558056/
2026-08-07,sanction_us,"Сенат принял Graham Act 86-11 (тарифы до 100% покупателям нефти РФ; впереди Палата, каникулы до сентября; реакция МосБиржи 10.08)",neg,https://www.cnbc.com/2026/08/07/russia-sanctions-bill-lindsey-graham-senate.html
