month,fiz,nfo_du,nfo_own,szko,other_banks,nonres,src
2020-01,,,,,,8.4,https://www.cbr.ru/Collection/Collection/File/27273/ORFR_2020-1_january.pdf
2020-02,,,,,,-67.0,https://www.cbr.ru/Collection/Collection/File/27646/ORFR_2020-2_february.pdf
2020-03,,,26.8,65.6,2.9,-95.3,https://www.cbr.ru/Collection/Collection/File/27808/ORFR_2020-3_march.pdf
2020-04,,,-31.7,35.7,8.0,-12.0,https://www.cbr.ru/Collection/Collection/File/27872/ORFR_2020-4_april.pdf
2020-05,,,,24.4,,-36.9,https://www.cbr.ru/Collection/Collection/File/28011/ORFR_2020-5_may-june.pdf
2020-06,,,,52.6,,-66.7,https://www.cbr.ru/Collection/Collection/File/28011/ORFR_2020-5_may-june.pdf
2020-07,,,-13.3,9.0,2.7,1.6,https://www.cbr.ru/Collection/Collection/File/29135/ORFR_2020-6_july.pdf
2020-08,,,-1.5,30.1,5.7,-34.2,https://www.cbr.ru/Collection/Collection/File/29207/ORFR_2020-7_august.pdf
2020-09,,,22.1,52.6,9.1,-83.8,https://www.cbr.ru/Collection/Collection/File/29346/ORFR_2020-8_september.pdf
2020-10,,,-22.3,69.7,18.0,-65.4,https://www.cbr.ru/Collection/Collection/File/29426/ORFR_2020-9_october.pdf
2020-11,,,,,,,https://www.cbr.ru/Collection/Collection/File/31917/ORFR_2020-10.pdf
2020-12,,,,,,,https://www.cbr.ru/Collection/Collection/File/31917/ORFR_2020-10.pdf
2021-01,,,-25.1,1.7,9.2,14.1,https://www.cbr.ru/Collection/Collection/File/31992/ORFR_2021-01.pdf
2021-02,,,-0.4,33.6,5.0,-38.2,https://www.cbr.ru/Collection/Collection/File/32076/ORFR_2021-02.pdf
2021-03,,,16.6,12.1,4.9,-33.6,https://www.cbr.ru/Collection/Collection/File/32191/ORFR_2021-03.pdf
2021-04,80.0,,0.8,57.2,13.7,-71.9,https://www.cbr.ru/Collection/Collection/File/32279/ORFR_2021-04.pdf
2021-05,,,,,,-28.0,https://www.cbr.ru/Collection/Collection/File/35473/ORFR_2021-05.pdf
2021-06,,,,,,-41.6,https://www.cbr.ru/Collection/Collection/File/35536/ORFR_2021-06.pdf
2021-07,,,15.4,1.4,-1.4,-15.4,https://www.cbr.ru/Collection/Collection/File/35536/ORFR_2021-06.pdf
2021-08,,,-22.5,22.7,13.3,-13.7,https://www.cbr.ru/Collection/Collection/File/36624/ORFR_2021-07.pdf
2021-09,40.2,,-18.7,19.5,19.6,-20.7,https://www.cbr.ru/Collection/Collection/File/38960/ORFR_2021-08.pdf
2021-10,82.1,12.6,-13.3,,,-78.6,https://www.cbr.ru/Collection/Collection/File/39310/ORFR_2021-09.pdf
2021-11,89.8,45.5,,,,-123.8,https://www.cbr.ru/Collection/Collection/File/39698/ORFR_2021-10.pdf
2021-12,48.9,48.3,,,,-114.3,https://www.cbr.ru/Collection/Collection/File/39698/ORFR_2021-10.pdf
2022-01,98.1,44.8,-38.2,1.5,1.9,-111.1,https://www.cbr.ru/Collection/Collection/File/39795/ORFR_2022-01.pdf
2022-02,140.2,-5.8,21.2,1.9,-0.4,-176.5,https://www.cbr.ru/Collection/Collection/File/43769/ORFR_2023-01.pdf
2022-03,-14.0,5.8,-30.1,47.9,-2.3,-10.8,https://www.cbr.ru/Collection/Collection/File/40925/ORFR_2022-02-03.pdf
2022-04,0.8,23.2,-13.9,-9.3,-2.3,1.5,https://www.cbr.ru/Collection/Collection/File/42153/ORFR_2022-04-06.pdf
2022-05,3.5,10.8,-11.6,0.8,1.5,-0.4,https://www.cbr.ru/Collection/Collection/File/42153/ORFR_2022-04-06.pdf
2022-06,13.9,9.3,3.1,0.4,2.7,-4.2,https://www.cbr.ru/Collection/Collection/File/42153/ORFR_2022-04-06.pdf
2022-07,-15.6,16.2,1.9,0.4,0.8,-1.2,https://www.cbr.ru/Collection/Collection/File/42228/ORFR_2022-07.pdf
2022-08,-7.9,15.3,-10.5,3.9,1.2,-1.2,https://www.cbr.ru/Collection/Collection/File/42303/ORFR_2022-08.pdf
2022-09,18.0,-13.8,-0.8,2.4,-0.8,-0.7,https://www.cbr.ru/Collection/Collection/File/42394/ORFR_2022-09.pdf
2022-10,-2.3,8.0,-2.3,0.8,0.4,-0.8,https://www.cbr.ru/Collection/Collection/File/43472/ORFR_2022-10.pdf
2022-11,-2.7,8.1,1.9,1.9,-0.4,-5.0,https://www.cbr.ru/Collection/Collection/File/43666/ORFR_2022-11.pdf
2022-12,8.9,-1.9,-2.3,1.2,-1.9,-2.3,https://www.cbr.ru/Collection/Collection/File/43666/ORFR_2022-11.pdf
2023-01,5.4,1.1,0.5,1.0,-4.4,-2.8,https://www.cbr.ru/Collection/Collection/File/43769/ORFR_2023-01.pdf
2023-02,3.9,-1.1,-2.2,0.4,0.5,-3.5,https://www.cbr.ru/Collection/Collection/File/43828/ORFR_2023-02.pdf
2023-03,17.4,0.5,-17.8,1.5,0.5,-1.5,https://www.cbr.ru/Collection/Collection/File/43891/ORFR_2023-03.pdf
2023-04,28.9,-12.2,-3.5,-12.1,1.6,-0.9,https://www.cbr.ru/Collection/Collection/File/43973/ORFR_2023-04.pdf
2023-05,14.9,-7.2,-0.8,-0.8,-2.7,-0.7,https://www.cbr.ru/Collection/Collection/File/45060/ORFR_2023-05.pdf
2023-06,13.1,-2.6,1.4,0.5,-3.5,-3.3,https://www.cbr.ru/Collection/Collection/File/45128/ORFR_2023-06.pdf
