month,usd,m_end,rub,rub_gap
2015-01,46.14,2015-01-31,2919.8122954736846,
2015-02,57.31,2015-02-28,3732.064300684211,
2015-03,54.19,2015-03-31,3271.9491060476194,
2015-04,58.6,2015-04-30,3124.5037881818184,
2015-05,63.07,2015-05-31,3175.540512277778,
2015-06,60.67,2015-06-30,3292.442160142857,
2015-07,55.6,2015-07-31,3178.684151304348,
2015-08,45.29,2015-08-31,2957.702701333333,
2015-09,46.58,2015-09-30,3111.535319181818,
2015-10,46.61,2015-10-31,2949.3723258181817,
2015-11,41.72,2015-11-30,2707.0059548,
2015-12,36.24,2015-12-31,2518.6376650909096,-0.20064988292109462
2016-01,28.53,2016-01-31,2206.0868465000003,-0.3111116667490936
2016-02,30.34,2016-02-29,2343.764277619048,-0.2346151438693122
2016-03,36.37,2016-03-31,2570.183918363636,-0.13350845968396163
2016-04,39.34,2016-04-30,2628.257442666667,-0.10456759938183022
2016-05,44.59,2016-05-31,2931.056999684211,0.004210694072495337
2016-06,46.23,2016-06-30,3010.9990854285716,0.029365026382945806
2016-07,43.31,2016-07-31,2779.805327714286,-0.04792945144331924
2016-08,43.69,2016-08-31,2841.7083446521738,-0.0246255166824481
2016-09,44.22,2016-09-30,2853.4181099999996,-0.01954596432466541
2016-10,47.74,2016-10-31,2990.1787593333333,0.02601380096536518
2016-11,43.53,2016-11-30,2795.297191142857,-0.039616931100487945
2016-12,51.9,2016-12-31,3224.7701700000002,0.098781945772064
2017-01,53.03,2017-01-31,3168.0851793809525,0.07751292910022323
2017-02,53.3,2017-02-28,3120.341058421053,0.07105970285387105
2017-03,49.61,2017-03-31,2876.7903175,-0.00452604737285674
2017-04,50.91,2017-04-30,2872.8294087,-0.0022685224813481664
2017-05,48.96,2017-05-31,2784.9170160000003,-0.027679160703227103
2017-06,45.41,2017-06-30,2628.9898937142852,-0.07559533181702688
2017-07,47.8,2017-07-31,2853.0415590476186,0.010987405443850141
2017-08,51.15,2017-08-31,3049.290125869565,0.07615915062206233
2017-09,54.63,2017-09-30,3157.637412857143,0.11039484965647783
2017-10,56.36,2017-10-31,3252.770262545455,0.13561696494668177
2017-11,62.15,2017-11-30,3662.0392940476186,0.2402169242111018
2017-12,63.77,2017-12-31,3738.608564666667,0.24341438437303742
2018-01,68.6,2018-01-31,3893.5655289999995,0.2603194310517372
